"Date","Open","High","Low","Close","Volume"
"05/05/2025","203.1","204.1","193.25","198.53","275,784,660"
"04/28/2025","210","214.56","202.16","205.35","286,233,430"
"04/21/2025","193.265","209.75","189.8112","209.28","238,181,330"
"04/14/2025","211.44","212.94","192.37","196.98","264,593,870"
"04/07/2025","177.2","200.61","169.2101","198.15","675,037,620"
"03/31/2025","217.005","225.62","187.34","188.38","366,947,860"
"03/24/2025","221","225.02","217.68","217.9","190,239,110"
"03/17/2025","213.31","218.84","209.97","218.27","287,881,970"
"03/10/2025","235.54","236.16","208.42","213.49","332,231,990"
"03/03/2025","241.79","244.0272","229.23","239.07","239,653,680"
"02/24/2025","244.925","250","230.2","241.84","241,760,230"
"02/17/2025","244.15","248.69","241.84","245.55","166,541,050"
"02/10/2025","229.57","245.55","227.2","244.6","226,587,580"
"02/03/2025","229.99","234","225.7","227.63","227,428,160"
"01/27/2025","224.02","247.19","223.98","236","372,790,470"
"01/20/2025","224","227.03","219.38","222.78","277,129,600"
"01/13/2025","233.53","238.96","228.03","229.98","269,145,340"
"01/06/2025","244.31","247.33","233","236.85","185,241,330"
"12/30/2024","252.23","253.5","241.8201","243.36","171,023,100"
"12/23/2024","254.77","260.1","253.06","255.59","133,711,780"
"12/16/2024","247.99","255","245.69","254.49","368,202,770"
"12/09/2024","241.83","250.8","241.75","248.13","192,702,670"
"12/02/2024","237.27","244.63","237.16","242.84","208,286,560"
"11/25/2024","231.46","237.81","229.74","237.33","198,118,840"
"11/18/2024","225.25","230.7199","225.17","229.87","196,343,940"
"11/11/2024","225","228.87","221.5","225","223,817,760"
"11/04/2024","220.99","228.66","219.71","226.96","208,083,440"
"10/28/2024","233.32","234.73","220.27","222.91","248,222,120"
"10/21/2024","234.45","236.85","227.76","231.41","197,299,830"
"10/14/2024","228.7","237.49","228.6","235","218,140,980"
"10/07/2024","224.5","229.75","221.33","227.55","164,894,860"
"09/30/2024","230.04","233","223.02","226.8","222,348,310"
"09/23/2024","227.34","229.52","224.02","227.79","210,673,490"
"09/16/2024","216.54","233.09","213.92","228.2","550,232,920"
"09/09/2024","220.82","224.04","216.71","222.5","237,622,920"
"09/02/2024","228.55","229","217.48","220.82","179,069,180"
"08/26/2024","226.76","232.92","223.8905","229","209,486,010"
"08/19/2024","225.72","228.34","223.04","226.84","188,124,890"
"08/12/2024","216.07","226.8271","215.6","226.05","214,898,240"
"08/05/2024","199.09","216.78","196","216.24","342,088,310"
"07/29/2024","216.96","225.6","215.75","219.86","296,061,480"
"07/22/2024","227.01","227.78","214.62","217.96","242,932,230"
"07/15/2024","236.48","237.23","222.27","224.31","278,397,450"
"07/08/2024","227.09","233.08","223.25","230.54","287,640,520"
"07/01/2024","212.09","226.45","211.92","226.34","216,231,320"
"06/24/2024","207.72","216.07","206.59","210.62","335,969,500"
"06/17/2024","213.37","218.95","207.11","207.49","506,265,400"
"06/10/2024","196.9","220.2","192.15","212.49","635,755,160"
"06/03/2024","192.9","196.94","192.52","196.89","245,994,440"
"05/27/2024","191.51","193","189.1","192.25","230,454,290"
"05/20/2024","189.325","192.8231","186.625","189.98","208,652,130"
"05/13/2024","185.435","191.095","184.62","189.87","288,966,580"
"05/06/2024","182.354","185.09","180.42","183.05","300,675,000"
"04/29/2024","173.37","187","169.11","183.38","441,926,370"
"04/22/2024","165.515","171.34","164.77","169.3","241,302,720"
"04/15/2024","175.36","176.63","164.075","165","309,416,500"
"04/08/2024","169.03","178.36","167.11","176.55","322,327,240"
"04/01/2024","171.19","171.92","168.2302","169.58","239,070,920"
"03/25/2024","170.565","173.6","169.45","171.48","237,622,740"
"03/18/2024","175.57","178.67","170.06","172.28","361,583,960"
"03/11/2024","172.94","174.38","170.285","172.62","367,119,740"
"03/04/2024","176.15","176.9","168.49","170.73","393,262,270"
"02/26/2024","182.24","183.9225","177.38","179.66","354,385,890"
"02/19/2024","181.79","185.04","180","182.52","192,607,110"
"02/12/2024","188.415","188.67","181.35","182.31","268,128,950"
"02/05/2024","188.15","191.05","185.84","188.85","252,715,810"
"01/29/2024","192.01","192.2","179.25","185.85","325,909,900"
"01/22/2024","192.3","196.38","191.94","192.42","255,536,900"
"01/15/2024","182.16","191.95","180.3","191.56","259,829,210"
"01/08/2024","182.085","187.05","181.5","185.92","238,385,380"
"01/01/2024","187.15","188.44","180.17","181.18","275,266,360"
"12/25/2023","193.61","194.66","191.09","192.53","153,729,040"
"12/18/2023","196.09","197.68","192.97","193.6","232,340,850"
"12/11/2023","193.11","199.62","191.42","197.57","379,414,750"
"12/04/2023","189.98","195.99","187.4511","195.71","251,991,680"
"11/27/2023","189.92","192.09","188.19","191.24","216,481,440"
"11/20/2023","189.89","192.93","189.25","189.97","148,351,450"
"11/13/2023","185.82","190.96","184.21","189.69","262,880,720"
"11/06/2023","176.38","186.565","176.21","186.4","303,653,020"
"10/30/2023","169.02","177.78","167.9","176.65","310,075,890"
"10/23/2023","170.91","174.01","165.67","168.22","286,078,100"
"10/16/2023","176.75","179.075","172.64","172.88","288,377,600"
"10/09/2023","176.81","182.34","175.8","178.85","241,839,090"
"10/02/2023","171.22","177.99","170.82","177.49","260,574,040"
"09/25/2023","174.2","176.97","167.62","171.21","285,839,000"
"09/18/2023","176.48","179.695","173.86","174.79","297,395,200"
"09/11/2023","180.07","180.3","173.58","175.01","403,746,430"
"09/04/2023","188.28","189.98","173.54","178.18","305,126,720"
"08/28/2023","180.09","189.92","178.545","189.46","264,199,510"
"08/21/2023","175.07","181.55","173.735","178.61","247,514,270"
"08/14/2023","177.97","179.69","171.96","174.49","261,498,110"
"08/07/2023","182.13","183.13","176.55","177.79","332,501,080"
"07/31/2023","196.06","196.73","181.92","181.99","302,694,950"
"07/24/2023","193.41","197.2","192.25","195.83","226,011,790"
"07/17/2023","191.9","198.23","191.23","191.94","310,914,130"
"07/10/2023","189.26","191.7","186.6","190.69","250,269,110"
"07/03/2023","193.78","193.88","189.2","190.68","170,237,870"
"06/26/2023","186.83","194.48","185.23","193.97","281,596,840"
"06/19/2023","184.41","187.56","182.5901","186.68","203,677,120"
"06/12/2023","181.27","186.99","180.97","184.92","333,836,380"
"06/05/2023","182.63","184.951","177.32","180.96","347,854,340"
"05/29/2023","176.96","181.78","176.57","180.95","286,488,410"
"05/22/2023","173.98","175.77","170.52","175.43","250,354,920"
"05/15/2023","173.16","176.39","170.4201","175.16","258,634,690"
"05/08/2023","172.48","174.59","171","172.57","250,061,980"
"05/01/2023","169.28","174.3","164.31","173.57","360,723,290"
"04/24/2023","165","169.85","162.8","169.68","256,340,620"
"04/17/2023","165.09","168.16","164.03","165.02","249,953,120"
"04/10/2023","161.42","166.32","159.78","165.21","263,326,290"
"04/03/2023","164.27","166.84","161.8","164.66","200,156,350"
"03/27/2023","159.94","165","155.98","164.9","267,939,590"
"03/20/2023","155.07","162.14","154.15","160.25","350,159,920"
"03/13/2023","147.805","156.74","147.7","155","410,519,930"
"03/06/2023","153.785","156.3","147.6096","148.5","313,350,830"
"02/27/2023","147.71","151.11","143.9","151.03","274,036,520"
"02/20/2023","150.2","151.3","145.7202","146.71","213,742,400"
"02/13/2023","150.952","156.33","150.85","152.55","316,887,890"
"02/06/2023","152.575","155.23","149.22","151.01","330,758,790"
"01/30/2023","144.955","157.38","141.32","154.5","480,249,660"
"01/23/2023","138.12","147.23","137.9","145.93","338,655,710"
"01/16/2023","134.83","138.61","133.77","137.87","271,823,470"
"01/09/2023","130.465","134.92","128.12","134.76","333,335,290"
"01/02/2023","130.28","130.9","124.17","129.62","369,948,560"
"12/26/2022","131.38","131.41","125.87","129.93","307,184,140"
"12/19/2022","135.11","136.81","129.64","131.86","384,620,420"
"12/12/2022","142.7","149.9692","133.73","134.51","505,728,800"
"12/05/2022","147.77","150.9199","140","142.16","341,500,070"
"11/28/2022","145.14","149.13","140.355","147.81","401,189,090"
"11/21/2022","150.16","151.83","146.925","148.11","204,025,460"
"11/14/2022","148.97","153.59","146.15","151.29","382,679,680"
"11/07/2022","137.11","150.01","134.5933","149.7","461,034,570"
"10/31/2022","153.155","155.45","134.38","138.38","510,660,460"
"10/24/2022","147.185","157.5","144.13","155.74","513,092,980"
"10/17/2022","141.065","147.8479","140.27","147.27","397,216,490"
"10/10/2022","140.42","144.52","134.37","138.38","424,188,380"
"10/03/2022","138.21","147.54","137.685","140.09","435,940,460"
"09/26/2022","149.66","154.72","138","138.2","577,537,050"
"09/19/2022","149.31","158.74","148.56","150.43","473,543,300"
"09/12/2022","159.59","164.26","148.37","150.7","568,337,920"
"09/05/2022","156.47","157.82","152.68","157.37","314,169,270"
"08/29/2022","161.145","162.9","154.67","155.81","390,398,910"
"08/22/2022","169.69","171.05","163.56","163.62","307,194,600"
"08/15/2022","171.52","176.15","171.3101","171.52","322,647,160"
"08/08/2022","166.37","172.17","163.25","172.1","318,856,920"
"08/01/2022","161.01","167.19","159.63","165.35","322,415,030"
"07/25/2022","154.01","163.63","150.8","162.51","370,548,960"
"07/18/2022","150.74","156.28","146.7","154.09","360,988,700"
"07/11/2022","145.67","150.86","142.1201","150.17","366,480,100"
"07/04/2022","137.77","147.55","136.93","147.04","278,295,400"
"06/27/2022","142.695","143.49","133.7737","138.93","373,781,670"
"06/20/2022","133.42","141.91","133.32","141.66","315,960,330"
"06/13/2022","132.87","137.34","129.04","131.56","541,006,200"
"06/06/2022","147.03","149.8697","137.06","137.13","354,396,350"
"05/30/2022","149.07","151.74","144.46","145.38","338,923,390"
"05/23/2022","137.79","149.68","137.14","149.64","495,921,750"
"05/16/2022","145.55","149.77","132.61","137.59","548,244,630"
"05/09/2022","154.925","156.74","138.8","147.11","686,227,300"
"05/02/2022","156.71","166.48","153.27","157.28","566,928,230"
"04/25/2022","161.12","166.2","155.38","157.65","541,697,210"
"04/18/2022","163.92","171.53","161.5","161.79","376,787,770"
"04/11/2022","168.71","171.27","165.04","165.29","297,460,200"
"04/04/2022","174.57","178.49","169.2","170.09","393,176,710"
"03/28/2022","172.17","179.61","171.94","174.31","465,395,100"
"03/21/2022","163.51","175.28","163.015","174.72","446,083,610"
"03/14/2022","151.45","164.48","150.1","163.98","503,123,680"
"03/07/2022","163.36","165.02","154.5","154.73","521,334,160"
"02/28/2022","163.06","168.91","161.97","163.17","418,753,840"
"02/21/2022","164.98","166.69","152","164.85","414,293,730"
"02/14/2022","167.37","173.34","166.19","167.3","364,011,260"
"02/07/2022","172.86","176.65","168.04","168.64","412,902,050"
"01/31/2022","170.16","176.2399","169.51","172.39","458,553,240"
"01/24/2022","160.02","170.35","154.7","170.33","688,670,700"
"01/17/2022","171.51","172.54","162.3","162.41","400,253,140"
"01/10/2022","169.08","177.18","168.17","173.07","422,655,620"
"01/03/2022","177.83","182.94","171.03","172.17","482,162,350"
"12/27/2021","177.085","181.33","177.07","177.57","340,248,120"
"12/20/2021","168.28","176.8499","167.46","176.28","359,176,880"
"12/13/2021","181.115","182.13","169.69","171.14","769,789,900"
"12/06/2021","164.29","179.63","164.28","179.45","569,227,700"
"11/29/2021","159.37","170.3","157.8","161.84","669,981,620"
"11/22/2021","161.68","165.7","156.36","156.81","359,933,170"
"11/15/2021","150.37","161.02","149.34","160.55","462,419,310"
"11/08/2021","151.41","151.57","147.48","149.99","281,799,850"
"11/01/2021","148.985","152.43","147.8","151.28","324,080,280"
"10/25/2021","148.68","153.165","146.4128","149.8","392,739,990"
"10/18/2021","143.445","150.18","143.16","148.69","340,691,290"
"10/11/2021","142.27","144.895","139.2","144.84","354,098,230"
"10/04/2021","141.76","144.215","138.27","142.9","382,910,010"
"09/27/2021","145.47","145.96","139.1101","142.65","441,421,310"
"09/20/2021","143.8","147.4701","141.27","146.92","394,033,240"
"09/13/2021","150.63","151.42","145.76","146.06","492,884,870"
"09/06/2021","154.97","157.26","148.7","148.97","354,897,400"
"08/30/2021","149","154.98","148.61","154.3","386,760,940"
"08/23/2021","148.31","150.86","146.83","148.6","272,129,130"
"08/16/2021","148.535","151.68","144.5","148.19","429,624,470"
"08/09/2021","146.2","149.4444","145.3","149.1","299,579,350"
"08/02/2021","146.36","148.045","145.18","146.14","284,559,330"
"07/26/2021","148.27","149.83","142.54","145.86","423,324,000"
"07/19/2021","143.75","148.7177","141.67","148.56","441,563,680"
"07/12/2021","146.21","150","143.63","146.39","504,249,350"
"07/05/2021","140.07","145.65","140.07","145.11","418,559,700"
"06/28/2021","133.41","140","133.35","139.96","321,360,120"
"06/21/2021","130.3","134.64","129.21","133.11","354,155,890"
"06/14/2021","127.82","132.55","127.07","130.46","457,142,820"
"06/07/2021","126.17","128.46","124.8321","127.35","327,048,050"
"05/31/2021","125.08","126.16","123.13","125.89","278,314,490"
"05/24/2021","126.01","128.32","124.55","124.61","357,615,060"
"05/17/2021","126.82","128","122.86","125.43","386,224,030"
"05/10/2021","129.41","129.54","122.25","127.45","514,165,580"
"05/03/2021","132.04","134.07","126.7","130.21","453,802,300"
"04/26/2021","134.83","137.07","131.065","131.46","501,621,470"
"04/19/2021","133.51","135.53","131.3001","134.32","421,246,950"
"04/12/2021","132.52","135","130.63","134.16","444,178,800"
"04/05/2021","123.87","133.04","123.07","132.995","447,820,440"
"03/29/2021","121.65","124.18","118.86","123","359,904,050"
"03/22/2021","120.33","124.24","118.92","121.21","488,825,840"
"03/15/2021","121.41","127.22","119.675","119.99","626,770,360"
"03/08/2021","120.93","123.21","116.21","121.03","586,977,250"
"03/01/2021","123.75","128.72","117.57","121.42","663,456,700"
"02/22/2021","128.01","129.72","118.39","121.26","685,989,200"
"02/15/2021","135.49","136.01","127.41","129.87","363,187,150"
"02/08/2021","136.03","137.877","133.6921","135.37","345,543,140"
"02/01/2021","133.75","137.42","130.93","136.76","439,303,000"
"01/25/2021","143.07","145.09","130.21","131.96","716,990,960"
"01/18/2021","127.78","139.85","126.938","139.07","430,065,730"
"01/11/2021","129.19","131.45","126.86","127.14","483,029,140"
"01/04/2021","133.52","133.6116","126.382","132.05","610,791,200"
"12/28/2020","133.99","138.789","131.72","132.69","441,102,210"
"12/21/2020","125.02","134.405","123.449","131.97","433,757,150"
"12/14/2020","122.6","129.58","121.54","126.655","621,758,190"
"12/07/2020","122.31","125.95","120.15","122.41","452,278,660"
"11/30/2020","116.97","123.78","116.81","122.25","543,809,250"
"11/23/2020","117.18","117.6202","112.59","116.59","365,024,060"
"11/16/2020","118.92","120.99","116.81","117.34","389,493,360"
"11/09/2020","120.5","121.99","114.13","119.26","589,872,990"
"11/02/2020","109.11","119.62","107.32","118.69","609,571,800"
"10/26/2020","114.01","117.28","107.72","108.86","684,767,970"
"10/19/2020","119.96","120.419","114.28","115.04","519,569,630"
"10/12/2020","120.06","125.39","118.15","119.02","881,572,600"
"10/05/2020","113.91","117","112.25","116.97","548,575,040"
"09/28/2020","115.01","117.72","112.22","113.02","641,240,500"
"09/21/2020","104.54","112.86","103.1","112.28","847,212,600"
"09/14/2020","114.72","118.829","106.09","106.84","944,934,700"
"09/07/2020","113.95","120.5","110","112","771,441,800"
"08/31/2020","127.58","137.98","110.89","120.96","1,168,498,600"
"08/24/2020","128.6975","128.785","123.0525","124.8075","1,063,638,160"
"08/17/2020","116.0625","124.868","113.9625","124.37","835,694,840"
"08/10/2020","112.6","116.0425","109.1067","114.9075","941,897,920"
"08/03/2020","108.2","114.4125","107.8925","111.1125","1,003,410,240"
"07/27/2020","93.71","106.415","93.2475","106.26","847,594,480"
"07/20/2020","96.4163","99.25","89.145","92.615","665,408,720"
"07/13/2020","97.265","99.955","93.8775","96.3275","718,601,040"
"07/06/2020","92.5","96.3175","92.4675","95.92","564,071,880"
"06/29/2020","88.3125","92.6175","87.82","91.0275","495,648,080"
"06/22/2020","87.835","93.095","87.7875","88.4075","883,003,520"
"06/15/2020","83.3125","89.14","83.145","87.43","779,940,360"
"06/08/2020","82.5625","88.6925","81.83","84.7","811,827,120"
"06/01/2020","79.4375","82.9375","79.3025","82.875","497,963,160"
"05/25/2020","80.875","81.06","78.2725","79.485","525,861,400"
"05/18/2020","78.2925","80.2225","77.581","79.7225","533,098,800"
"05/11/2020","77.025","79.922","75.0525","76.9275","834,147,280"
"05/04/2020","72.2925","77.5875","71.5793","77.5325","672,915,920"
"04/27/2020","70.45","74.75","69.55","72.2675","790,053,720"
"04/20/2020","69.4875","70.7525","66.3575","70.7425","679,386,960"
"04/13/2020","67.0775","72.0625","66.4575","70.7","829,547,240"
"04/06/2020","62.725","67.925","62.345","66.9975","735,719,360"
"03/30/2020","62.685","65.6225","59.225","60.3525","837,011,040"
"03/23/2020","57.02","64.67","53.1525","61.935","1,384,663,240"
"03/16/2020","60.4875","64.77","57","57.31","1,620,263,240"
"03/09/2020","65.9375","71.61","62","69.4925","1,617,620,920"
"03/02/2020","70.57","76","69.43","72.2575","1,293,800,920"
"02/24/2020","74.315","76.045","64.0925","68.34","1,399,072,800"
"02/17/2020","78.84","81.1625","77.625","78.2625","477,017,800"
"02/10/2020","78.545","81.805","78.4625","81.2375","492,263,640"
"02/03/2020","76.075","81.305","75.555","80.0075","652,538,600"
"01/27/2020","77.515","81.9625","76.22","77.3775","867,105,360"
"01/20/2020","79.2975","80.8325","78.9125","79.5775","463,685,200"
"01/13/2020","77.91","79.685","77.3875","79.6825","653,269,720"
"01/06/2020","73.4475","78.1675","73.1875","77.5825","673,808,240"